Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Al-Kharj, Saudi Arabia",1/1/2000,73.5,46.5,58.9,43.6,,0,,,8.1,242.5,,6.8,1.3,35.7,Clear
"Al-Kharj, Saudi Arabia",1/2/2000,71.7,46.5,59,45.4,,0,,,4.7,183.75,,6.8,1.3,35.89,Clear
"Al-Kharj, Saudi Arabia",1/3/2000,84.3,46.5,60,44.3,81.7,0,,,8.1,169.41,,6.8,12.9,33.7,Clear
"Al-Kharj, Saudi Arabia",1/4/2000,75.3,48.3,61.7,45.2,,0,,,17.2,172.27,,6.8,14.8,43.48,Clear
"Al-Kharj, Saudi Arabia",1/5/2000,78.9,53.7,65.8,,,0,,,19.5,176.19,,6.8,55.7,41.49,Partially cloudy
"Al-Kharj, Saudi Arabia",1/6/2000,80.7,53.7,68.5,,79.5,0,,,23,175.56,,6.4,64.7,35.03,Partially cloudy
"Al-Kharj, Saudi Arabia",1/7/2000,66.3,50.1,58.2,,,0,,,12.8,142.22,,5,73.5,70.78,Partially cloudy
"Al-Kharj, Saudi Arabia",1/8/2000,71.7,50.1,59.8,,,0,,,11.4,100,,5.7,65,75.2,Partially cloudy
"Al-Kharj, Saudi Arabia",1/9/2000,71.7,53.7,61.7,,,0,,,12.8,127.14,,4.6,15.2,77.88,Clear
"Al-Kharj, Saudi Arabia",1/10/2000,62.7,50.1,55.7,,,0,,,19.5,217.73,,6.5,76.4,56.48,Overcast
"Al-Kharj, Saudi Arabia",1/11/2000,64.5,44.7,53.4,40.8,,0,,,16.1,246.36,,6.8,19.6,32.82,Clear
"Al-Kharj, Saudi Arabia",1/12/2000,66.3,42.9,54.1,40.1,,0,,,5.8,220.71,,6.8,48.8,32.41,Partially cloudy
"Al-Kharj, Saudi Arabia",1/13/2000,68.1,48.3,56,45.7,,0,,,10.3,116,,6.8,28.7,35.9,Partially cloudy
"Al-Kharj, Saudi Arabia",1/14/2000,64.5,42.9,52.6,40.1,,0,,,10.3,85,,6.8,20.8,40.44,Clear
"Al-Kharj, Saudi Arabia",1/15/2000,68.1,48.3,57.3,47.4,,0,,,18.3,154,,6.8,0,39.39,Clear
"Al-Kharj, Saudi Arabia",1/16/2000,78.9,53.7,64.4,,,0,,,27.5,177.27,,5.3,50.9,49.02,Partially cloudy
"Al-Kharj, Saudi Arabia",1/17/2000,62.7,50.1,55.9,,,0.27,,,15,84.78,,3.3,96.7,93.43,"Rain, Overcast"
"Al-Kharj, Saudi Arabia",1/18/2000,57.3,41.1,50.8,35.9,,0.06,,,11.4,108.95,,4.6,91.1,73.66,"Rain, Overcast"
"Al-Kharj, Saudi Arabia",1/19/2000,77.1,51.9,62.1,,,0,,,12.8,201.74,,5.9,41.3,61.57,Partially cloudy
"Al-Kharj, Saudi Arabia",1/20/2000,71.7,51.9,62.9,,,0,,,16.1,143.48,,6.4,0,43.14,Clear
"Al-Kharj, Saudi Arabia",1/21/2000,78.9,55.5,64.9,,,0,,,20.8,176.96,,6.8,1.3,36.84,Clear
"Al-Kharj, Saudi Arabia",1/22/2000,71.7,50.1,61.8,,,0,,,11.4,99.44,,6.7,0,32.03,Clear
"Al-Kharj, Saudi Arabia",1/23/2000,73.5,50.1,59.8,,,0,,,11.4,108.89,,6.6,13,50.5,Clear
"Al-Kharj, Saudi Arabia",1/24/2000,69.9,46.5,57.7,43.6,,0,,,11.4,85.45,,6.8,20.4,52.66,Clear
"Al-Kharj, Saudi Arabia",1/25/2000,73.5,46.5,59.2,47.4,,0,,,9.2,165,,6.8,62.6,44.54,Partially cloudy
"Al-Kharj, Saudi Arabia",1/26/2000,78.9,53.7,64.3,,,0,,,19.5,187.39,,6.8,17,39.33,Clear
"Al-Kharj, Saudi Arabia",1/27/2000,80.7,57.3,69.6,,79.2,0,,,26.4,179.09,,5.6,37.3,30.1,Partially cloudy
"Al-Kharj, Saudi Arabia",1/28/2000,84.3,59.1,70.2,,81.7,0,,,20.8,187.27,,6.7,11.3,27.97,Clear
"Al-Kharj, Saudi Arabia",1/29/2000,66.3,51.9,60.1,,,0,,,23,225,,5.7,52.1,37.64,Partially cloudy
"Al-Kharj, Saudi Arabia",1/30/2000,64.5,44.7,54.1,39.3,,0,,,17.2,217.73,,6.7,19.6,38.03,Clear
"Al-Kharj, Saudi Arabia",1/31/2000,71.7,44.7,55.9,40.8,,0,,,8.1,232.5,,6.8,13.9,40.23,Clear
"Al-Kharj, Saudi Arabia",2/1/2000,73.5,46.5,59.6,44.3,,0,,,12.8,181.25,,6.8,37.5,34.16,Partially cloudy
"Al-Kharj, Saudi Arabia",2/2/2000,71.7,53.7,61.3,,,0,,,12.8,88.64,,6.8,31.7,35.07,Partially cloudy
"Al-Kharj, Saudi Arabia",2/3/2000,71.7,50.1,58.3,,,0,,,10.3,109.52,,6.8,27.8,35.15,Partially cloudy
"Al-Kharj, Saudi Arabia",2/4/2000,69.9,48.3,56.8,47.4,,0,,,8.1,115.88,,6.8,13.3,38.1,Clear
"Al-Kharj, Saudi Arabia",2/5/2000,71.7,46.5,59.5,,,0,,,6.9,148,,6.8,15,36.87,Clear
"Al-Kharj, Saudi Arabia",2/6/2000,77.1,51.9,63.9,,,0,,,19.5,175.65,,6.4,20,32.48,Clear
