Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Sana'a, Yemen",1/1/2000,74,39.3,55.1,38.2,,0,,,13.9,248,,7.1,9.4,40.23,Clear
"Sana'a, Yemen",1/2/2000,75.8,41.1,59.8,,,0,,,18.3,217.5,,6.4,11.4,32.94,Clear
"Sana'a, Yemen",1/3/2000,75.5,39.3,55.6,37.2,,0,,,17.2,168.33,,6.6,7.9,35.94,Clear
"Sana'a, Yemen",1/4/2000,75.3,41.1,57.6,,,0,,,13.9,180,,7.2,1.8,32.05,Clear
"Sana'a, Yemen",1/5/2000,75.3,49.7,62.5,,,0,,,9.2,360,,9.3,0,27.82,Clear
"Sana'a, Yemen",1/6/2000,77.1,42.9,65,40.1,,0,,,11.4,112.86,,6.8,3.6,27.58,Clear
"Sana'a, Yemen",1/7/2000,76.4,39.3,56.5,,,0,,,11.4,105,,6.3,8.2,32.56,Clear
"Sana'a, Yemen",1/8/2000,77.1,41.1,67.5,,,0,,,9.2,340,,6.4,16.4,23.23,Clear
"Sana'a, Yemen",1/9/2000,38.9,38.9,38.9,,,0,,,0,,,6.2,0,61.18,Clear
"Sana'a, Yemen",1/10/2000,,,,,,0,,,,,,,,,
"Sana'a, Yemen",1/11/2000,,,,,,0,,,,,,,,,
"Sana'a, Yemen",1/12/2000,,,,,,0,,,,,,,,,
"Sana'a, Yemen",1/13/2000,,,,,,0,,,,,,,,,
"Sana'a, Yemen",1/14/2000,,,,,,0,,,,,,,,,
"Sana'a, Yemen",1/15/2000,75.3,66.3,70.8,,,0,,,13.9,90,,6.4,7.5,28.16,Clear
"Sana'a, Yemen",1/16/2000,77.1,53.7,66.3,,,0,,,19.5,210,,6.3,10,31.74,Clear
"Sana'a, Yemen",1/17/2000,77.1,53.7,68.2,,,0,,,16.1,216,,6.3,0,27.07,Clear
"Sana'a, Yemen",1/18/2000,75.3,66.3,70.8,,,0,,,16.1,240,,6.5,15,27.94,Clear
"Sana'a, Yemen",1/19/2000,78.9,44.7,66.6,,,0,,,9.2,60,,6.5,10,33.99,Clear
"Sana'a, Yemen",1/20/2000,73.5,57.5,64.3,,,0,,,9.2,20,,6.4,7.5,32.37,Clear
"Sana'a, Yemen",1/21/2000,,,,,,0,,,,,,,,,
"Sana'a, Yemen",1/22/2000,75.3,53.7,64.8,,,0,,,6.9,30,,6.2,12,33.67,Clear
"Sana'a, Yemen",1/23/2000,77.1,46.5,64.5,,,0,,,9.2,53.33,,6.4,20,37.57,Clear
"Sana'a, Yemen",1/24/2000,77.6,46.5,63.9,,,0,,,13.9,224.29,,6.6,10.7,33.37,Clear
"Sana'a, Yemen",1/25/2000,77.1,48.5,60.5,,,0,,,11.4,15,,6.6,5,39.44,Clear
"Sana'a, Yemen",1/26/2000,73.5,43.4,60,,,0,,,18.3,180,,6.3,11.1,39.24,Clear
"Sana'a, Yemen",1/27/2000,79.4,51,64.5,,,0,,,13.9,215,,6.3,5,34.26,Clear
"Sana'a, Yemen",1/28/2000,77.1,50.1,60.9,,,0,,,20.8,240,,6.2,2,43.22,Clear
"Sana'a, Yemen",1/29/2000,79.4,44.7,63.2,,,0,,,16.1,205,,6.2,11,38.89,Clear
"Sana'a, Yemen",1/30/2000,71.7,48.3,60.1,,,0,,,16.1,152,,2.7,0,40.66,Clear
"Sana'a, Yemen",1/31/2000,75.3,37.5,55,,,0,,,19.5,350,,5.9,3,39.67,Clear
"Sana'a, Yemen",2/1/2000,71.7,41.1,55.7,,,0,,,0,,,6,0,39.95,Clear
"Sana'a, Yemen",2/2/2000,78.9,59.1,68.9,,,0,,,13.9,130,,6,23,31.24,Clear
"Sana'a, Yemen",2/3/2000,80.7,51.9,71.2,,79.1,0,,,13.9,114,,6.4,15,31.54,Clear
"Sana'a, Yemen",2/4/2000,80,51.9,64.6,,,0,,,11.4,263.33,,6.3,8.6,32.55,Clear
"Sana'a, Yemen",2/5/2000,80.3,59.1,70.1,,78.9,0,,,9.2,272.5,,6.4,21.8,33.27,Clear
"Sana'a, Yemen",2/6/2000,77.1,56,68.2,,,0,,,0,,,6.5,12.9,35.77,Clear
"Sana'a, Yemen",2/7/2000,,,,,,0,,,,,,,,,
"Sana'a, Yemen",2/8/2000,77.1,57.3,70.7,,,0,,,18.3,195,,6.4,21.4,30.59,Clear
"Sana'a, Yemen",2/9/2000,80.9,48.8,66.7,47,79.1,0,,,18.3,230,,6.5,8.7,37.16,Clear
"Sana'a, Yemen",2/10/2000,77.1,50.1,64.4,,,0,,,18.3,360,,5.6,10,34.36,Clear
"Sana'a, Yemen",2/11/2000,77.1,60.9,70.1,,,0,,,18.3,161.43,,4.3,23.8,23.78,Clear
"Sana'a, Yemen",2/12/2000,73.5,50.1,61.9,,,0,,,13.9,117.5,,6.3,3.3,33.65,Clear
"Sana'a, Yemen",2/13/2000,80,46.5,64.3,,,0,,,11.4,270,,6.2,7.8,31.4,Clear
"Sana'a, Yemen",2/14/2000,80,55.5,69.1,,,0,,,11.4,155.56,,6.4,14.3,30.51,Clear
"Sana'a, Yemen",2/15/2000,78.9,46.5,62.8,,,0,,,16.1,97.14,,6.3,3.5,32.86,Clear
"Sana'a, Yemen",2/16/2000,78.9,42.9,66.1,,,0,,,9.2,90,,6.3,6.4,32.55,Clear
"Sana'a, Yemen",2/17/2000,78.5,48.3,66.9,,,0,,,11.4,53.33,,6.4,11.5,25.87,Clear
"Sana'a, Yemen",2/18/2000,78.9,46.5,67.2,,,0,,,11.4,92,,6.4,10.7,33.27,Clear
"Sana'a, Yemen",2/19/2000,78.9,46.5,66.1,,,0,,,11.4,102.5,,7.5,13.6,32.18,Clear
"Sana'a, Yemen",2/20/2000,77.1,62.7,70.4,,,0,,,11.4,247.5,,5.6,24.3,27.81,Clear
"Sana'a, Yemen",2/21/2000,78.9,60.9,68.1,,,0,,,11.4,285,,6.4,20,33.52,Clear
"Sana'a, Yemen",2/22/2000,77.6,57.3,70.5,,,0,,,13.9,250,,6.5,52.5,30.31,Partially cloudy
"Sana'a, Yemen",2/23/2000,79.1,55.5,69,,,0,,,16.1,300,,9.2,33.3,37.16,Partially cloudy
"Sana'a, Yemen",2/24/2000,79.8,53.7,69.8,,,0,,,16.1,290,,6.4,31.8,35.72,Partially cloudy
